::1 - Mon Jun 07 2021 12:06:27 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 6 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:06:27 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:06:27 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:06:27 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:06:27 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:06:27 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:10 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 58 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:10 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 5 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:10 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:10 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 25 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:10 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:10 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 5 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:11 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:56 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 67 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:56 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 10 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:56 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:56 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 4 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:56 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 - - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:56 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:07:57 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:13:28 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 43 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
::1 - Mon Jun 07 2021 12:13:28 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 7 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36
